,Summary,Safety Issues,Location,Title,Date Occurred,Decision Events,Skill Based Events,Routine Violation,Physical Environment,Technical Environment,Communications,Awareness Cognitive Factors,Inadequate Supervision,Planned Inappropriate Operations,Organizational Processes,Resource Management,Overall Info
41,"on 6 january 2003 the fishing vessel amber was lost suddenly in the firth of forth. the skipper drowned as a result. amber had departed from pittenween harbour with just the skipper on board. his son, who normally crewed for him, had been unable to join him because he was ill. during the towing process, the skipper was in contact with other fishermen, and at 1915 he called the owner on his mobile telephone. the owner advised him to call the coastguard to be on the safe side. at 1954, the coastguard received a “pan-pan” urgency call. at 2012, communications with amber were lost and a search for the missing vessel started. a diesel slick, wreckage and an inflated liferaft were discovered during the night and, at 0624 the following day, a search vessel reported that she had located the vessel on the seabed in forth ports’ ‘kilo 6’ anchorage. divers were sent down the next day and recovered the skipper’s body from the wheelhouse. after the wreck was surveyed on the seabed, the vessel was salvaged and then taken to burntisland where a survey and inclining experiment were conducted.","the inclining experiment, and its subsequent analysis, indicated amber’s stability to be poorlack of awareness of the requirements of stability for small fishing vesselslack of awareness of the regulations, risk assessment requirements and formal training of fishermen","Firth of Forth, Scotland",Capsize and sinking of prawn trawler Amber with loss of 1 life,6 January 2003,1,0,0,0,1,0,0,1,0,1,0,"Summary: on 6 january 2003 the fishing vessel amber was lost suddenly in the firth of forth. the skipper drowned as a result. amber had departed from pittenween harbour with just the skipper on board. his son, who normally crewed for him, had been unable to join him because he was ill. during the towing process, the skipper was in contact with other fishermen, and at 1915 he called the owner on his mobile telephone. the owner advised him to call the coastguard to be on the safe side. at 1954, the coastguard received a “pan-pan” urgency call. at 2012, communications with amber were lost and a search for the missing vessel started. a diesel slick, wreckage and an inflated liferaft were discovered during the night and, at 0624 the following day, a search vessel reported that she had located the vessel on the seabed in forth ports’ ‘kilo 6’ anchorage. divers were sent down the next day and recovered the skipper’s body from the wheelhouse. after the wreck was surveyed on the seabed, the vessel was salvaged and then taken to burntisland where a survey and inclining experiment were conducted. Safety Issues: the inclining experiment, and its subsequent analysis, indicated amber’s stability to be poorlack of awareness of the requirements of stability for small fishing vesselslack of awareness of the regulations, risk assessment requirements and formal training of fishermen"
42,"at approximately 1830 on 26 august 2008, a 55 year old female passenger on board the 9m rigid inflatable boat celtic pioneer suffered a lower back wedge compression fracture. she was participating in a 1 hour boat trip in the bristol channel with 10 colleagues as part of a corporate team building exercise. the injury occurred when the passenger landed heavily on her seat after she was momentarily lifted into the air due to the motion of the craft. she was treated in hospital and fitted with an external spine brace before returning home to begin a 6 month recuperation programme.","celtic pioneer was manoeuvred at speeds and/or in sea conditions such that the injured passenger was unable to maintain her intended posture when seateda number of celtic pioneer’s features, including her hull and deck design, seating and handgrip arrangements, increased the likelihood of shock or impact related injurythere were several departures from the measures identified in the operator’s risk assessment. in particular, no action was taken when the injured passenger held on to the rope on the rib’s buoyancy tube instead of the handrail","Bristol Channel, near Penath, Wales",Heavy landing on rigid inflatable boat Celtic Pioneer with 1 person injured,26 August 2008,1,0,0,0,1,0,0,0,1,0,0,"Summary: at approximately 1830 on 26 august 2008, a 55 year old female passenger on board the 9m rigid inflatable boat celtic pioneer suffered a lower back wedge compression fracture. she was participating in a 1 hour boat trip in the bristol channel with 10 colleagues as part of a corporate team building exercise. the injury occurred when the passenger landed heavily on her seat after she was momentarily lifted into the air due to the motion of the craft. she was treated in hospital and fitted with an external spine brace before returning home to begin a 6 month recuperation programme. Safety Issues: celtic pioneer was manoeuvred at speeds and/or in sea conditions such that the injured passenger was unable to maintain her intended posture when seateda number of celtic pioneer’s features, including her hull and deck design, seating and handgrip arrangements, increased the likelihood of shock or impact related injurythere were several departures from the measures identified in the operator’s risk assessment. in particular, no action was taken when the injured passenger held on to the rope on the rib’s buoyancy tube instead of the handrail"
43,"on december 18, 2019, about 1921 local time, a fire broke out aboard the privately owned yacht andiamo while moored at the island gardens deep harbour marina on watson island in miami, florida. the crew of four and a guest on board safely evacuated the vessel as the fire quickly spread. while local firefighters and crews from neighboring yachts attempted to extinguish the fire, the yacht capsized onto its starboard side. no injuries were reported, but an oil sheen was observed. total damage was estimated at $6.78 million: the andiamo, valued at $6.3 million, was declared a constructive total loss; repair costs for the marina and adjacent vessels were $480,000.",​the national transportation safety board determines that the probable cause of the fire aboard the private yacht andiamo was burning candles left unattended that resulted in an undetected fire in a guest cabin. contributing to the severity of the fire was the crew’s failure to complete timely repairs to a fire-detection and alarm system known to be inoperable for two months.​​,"Miami, FL",Fire aboard Private Yacht ​Andiamo,12/8/2019,1,0,0,0,0,0,1,0,0,0,0,"Summary: on december 18, 2019, about 1921 local time, a fire broke out aboard the privately owned yacht andiamo while moored at the island gardens deep harbour marina on watson island in miami, florida. the crew of four and a guest on board safely evacuated the vessel as the fire quickly spread. while local firefighters and crews from neighboring yachts attempted to extinguish the fire, the yacht capsized onto its starboard side. no injuries were reported, but an oil sheen was observed. total damage was estimated at $6.78 million: the andiamo, valued at $6.3 million, was declared a constructive total loss; repair costs for the marina and adjacent vessels were $480,000. Safety Issues: ​the national transportation safety board determines that the probable cause of the fire aboard the private yacht andiamo was burning candles left unattended that resulted in an undetected fire in a guest cabin. contributing to the severity of the fire was the crew’s failure to complete timely repairs to a fire-detection and alarm system known to be inoperable for two months.​​"
44,"​​on may 18, 2021, about 0653 local time, the towing vessel mary lynn, with a crew of six, was pushing two barges, transiting upbound near mile 176 on the upper mississippi river near st. louis, missouri, when a fire broke out in the engine room. a nearby good samaritan towing vessel and a st. louis fire department fire boat helped put out the fire, which was extinguished at 0810. there were no injuries or pollution reported. damage to the mary lynn was estimated at over $700,000.","t​he probable cause of the engine room fire on board the towing vessel mary lynn was the overpressurization of the fuel day tank (which did not have an independent vent) and a main engine fuel return system when the fatigued chief engineer inadvertently left the day tank overflow valves to the storage tanks closed, which ultimately led to ignition of spraying diesel fuel from a main engine’s fuel system onto an uninsulated engine component.​","St. Louis, MO",Fire aboard Towing Vessel Mary Lynn,5/18/2021,1,0,0,0,1,0,0,0,0,0,0,"Summary: ​​on may 18, 2021, about 0653 local time, the towing vessel mary lynn, with a crew of six, was pushing two barges, transiting upbound near mile 176 on the upper mississippi river near st. louis, missouri, when a fire broke out in the engine room. a nearby good samaritan towing vessel and a st. louis fire department fire boat helped put out the fire, which was extinguished at 0810. there were no injuries or pollution reported. damage to the mary lynn was estimated at over $700,000. Safety Issues: t​he probable cause of the engine room fire on board the towing vessel mary lynn was the overpressurization of the fuel day tank (which did not have an independent vent) and a main engine fuel return system when the fatigued chief engineer inadvertently left the day tank overflow valves to the storage tanks closed, which ultimately led to ignition of spraying diesel fuel from a main engine’s fuel system onto an uninsulated engine component.​"
45,"about 0100 eastern daylight time on september 8, 2019, after unloading and loading vehicle cargo during the previous day, the 656-foot-long, republic of the marshall islands-flagged roll-on/roll-off vehicle carrier golden ray departed the colonel’s island terminal in the port of brunswick, georgia, en route to baltimore, maryland. a state pilot from the port of brunswick navigated the vessel as it proceeded outbound through the brunswick river and into st. simons sound. the pilot navigated the vessel through two left turns, and, as the vessel approached the right turn into plantation creek range, which led to the atlantic ocean, the pilot gave rudder orders to the helmsman to turn the vessel to starboard. as the vessel turned to starboard, it began to heel quickly to port. the pilot and the vessel’s master began rapidly issuing rudder commands in an attempt to counter the heeling. however, the golden ray continued to heel over, the rate of turn to starboard increased, and the vessel heeled to port to about 60° in less than a minute. water entered deck 5 through the vessel’s open portside pilot door and flooded through open watertight doors to the engine and steering gear rooms. the vessel eventually settled on its port side at an angle of 90°. the us coast guard responded to the accident, along with tugboats and pilot boats from the port of brunswick, first responders from the georgia department of natural resources and glynn county, and vessels from sea tow. responders were initially able to rescue the pilot and 19 of the 23 crewmembers on board. four engineering crewmembers remained trapped in the engine room until the following evening, september 9, when responders cut into the vessel’s hull to rescue them. two crewmembers suffered serious injuries. total costs for the loss of the vessel were estimated at $62.5 million, and total costs for the loss of the cargo were estimated at $142 million","​​the national transportation safety board determines that the probable cause of the capsizing of the golden ray was the chief officer’s error entering ballast quantities into the stability  ​calculation program, which led to his incorrect determination of the vessel’s stability and resulted in the golden ray having an insufficient righting arm to counteract the forces developed during a turn while transiting outbound from the port of brunswick through st. simons sound. contributing  to the accident was g-marine service co. ltd.’s lack of effective procedures in their safety  management system for verifying stability calculations.​","Brunswick, GA",Capsizing of Roll-on/Roll-off Vehicle Carrier Golden Ray,9/8/2019,1,1,0,0,0,0,1,0,0,1,0,"Summary: about 0100 eastern daylight time on september 8, 2019, after unloading and loading vehicle cargo during the previous day, the 656-foot-long, republic of the marshall islands-flagged roll-on/roll-off vehicle carrier golden ray departed the colonel’s island terminal in the port of brunswick, georgia, en route to baltimore, maryland. a state pilot from the port of brunswick navigated the vessel as it proceeded outbound through the brunswick river and into st. simons sound. the pilot navigated the vessel through two left turns, and, as the vessel approached the right turn into plantation creek range, which led to the atlantic ocean, the pilot gave rudder orders to the helmsman to turn the vessel to starboard. as the vessel turned to starboard, it began to heel quickly to port. the pilot and the vessel’s master began rapidly issuing rudder commands in an attempt to counter the heeling. however, the golden ray continued to heel over, the rate of turn to starboard increased, and the vessel heeled to port to about 60° in less than a minute. water entered deck 5 through the vessel’s open portside pilot door and flooded through open watertight doors to the engine and steering gear rooms. the vessel eventually settled on its port side at an angle of 90°. the us coast guard responded to the accident, along with tugboats and pilot boats from the port of brunswick, first responders from the georgia department of natural resources and glynn county, and vessels from sea tow. responders were initially able to rescue the pilot and 19 of the 23 crewmembers on board. four engineering crewmembers remained trapped in the engine room until the following evening, september 9, when responders cut into the vessel’s hull to rescue them. two crewmembers suffered serious injuries. total costs for the loss of the vessel were estimated at $62.5 million, and total costs for the loss of the cargo were estimated at $142 million Safety Issues: ​​the national transportation safety board determines that the probable cause of the capsizing of the golden ray was the chief officer’s error entering ballast quantities into the stability  ​calculation program, which led to his incorrect determination of the vessel’s stability and resulted in the golden ray having an insufficient righting arm to counteract the forces developed during a turn while transiting outbound from the port of brunswick through st. simons sound. contributing  to the accident was g-marine service co. ltd.’s lack of effective procedures in their safety  management system for verifying stability calculations.​"
46,"at 0652 on 8 august 2016, the marshall islands registered semi-submersible rig transocean winner grounded on the isle of lewis following the loss of tow from the dutch registered tug alp forward. the tug and tow was on passage from stavanger, norway to valletta, malta when it encountered severe weather west of the hebrides. the effect of the wind and waves on transocean winner led to the loss of alp forward’s ability to control the direction and speed of the tug and tow. after being dragged backwards by the tow for over 24 hours, the tow line, weakened by the repeated sudden loadings, parted and the tug was unable to pick up the emergency towline.","the effect of the wind on transocean winner led to alp forward being incapable of controlling the wind and tow in the severe weather conditions. without the necessary information, it was not possible for the master to predict the tug’s inability to hold the rig and change his passage plan in time to seek shelterthe planning of a passage so close to the coast left little sea room for the tug and tow to drift. when alp forward lost control of the tug and tow, it was very likely that transocean winner would have grounded even if the tow line had not partedthe tow line was in a generally poor condition, there was insufficient catenary in the deployed tow line which led, in the weather conditions, to repeated sudden loadings resulting in the tow line parting. it is quite possible that a new tow line would have also parted under the same circumstances and conditions","Isle of Lewis, Scotland",Grounding of semi-submersible rig Transocean Winner after the loss of tow from tug ALP Forward,7 September 2017,1,0,0,1,0,0,0,1,0,0,0,"Summary: at 0652 on 8 august 2016, the marshall islands registered semi-submersible rig transocean winner grounded on the isle of lewis following the loss of tow from the dutch registered tug alp forward. the tug and tow was on passage from stavanger, norway to valletta, malta when it encountered severe weather west of the hebrides. the effect of the wind and waves on transocean winner led to the loss of alp forward’s ability to control the direction and speed of the tug and tow. after being dragged backwards by the tow for over 24 hours, the tow line, weakened by the repeated sudden loadings, parted and the tug was unable to pick up the emergency towline. Safety Issues: the effect of the wind on transocean winner led to alp forward being incapable of controlling the wind and tow in the severe weather conditions. without the necessary information, it was not possible for the master to predict the tug’s inability to hold the rig and change his passage plan in time to seek shelterthe planning of a passage so close to the coast left little sea room for the tug and tow to drift. when alp forward lost control of the tug and tow, it was very likely that transocean winner would have grounded even if the tow line had not partedthe tow line was in a generally poor condition, there was insufficient catenary in the deployed tow line which led, in the weather conditions, to repeated sudden loadings resulting in the tow line parting. it is quite possible that a new tow line would have also parted under the same circumstances and conditions"
47,"this is the report of maib’s investigation into the drowning of a passenger on board the cruise ship sapphire princess in the east china sea on 7 august 2014. at approximately 1245 local time on 7 august 2014, a passenger was noticed floating face down in a swimming pool on board sapphire princess. despite rescue and resuscitation attempts by passengers and crew, the victim was pronounced deceased at 1255. in the absence of a dedicated pool attendant, the initial alert was raised by passengers using the swimming pool. nearby passengers and crew responded, and the onboard emergency services were summoned by telephone. however, there was a short delay in the emergency team response due to language difficulties between crew members and, until the emergency team arrived, limited attempts to perform cpr2 were carried out by passengers. risks relating to the use of swimming pools by unsupervised passengers had not been formally assessed.",with no dedicated pool attendants it was left to pool users and bystanders to recognise an emergency and raise an alarmthe crew members (catering staff) in the vicinity of neptune pool had not received instruction from the company in medical first aid.there was no documented formal risk assessment available for ship’s staff reference when assessing swimming pool operational safety.,East China Sea,Drowning in swimming pool on the passenger cruise ship Sapphire Princess with loss of 1 life,7 August 2014,1,0,0,0,0,0,0,1,0,0,0,"Summary: this is the report of maib’s investigation into the drowning of a passenger on board the cruise ship sapphire princess in the east china sea on 7 august 2014. at approximately 1245 local time on 7 august 2014, a passenger was noticed floating face down in a swimming pool on board sapphire princess. despite rescue and resuscitation attempts by passengers and crew, the victim was pronounced deceased at 1255. in the absence of a dedicated pool attendant, the initial alert was raised by passengers using the swimming pool. nearby passengers and crew responded, and the onboard emergency services were summoned by telephone. however, there was a short delay in the emergency team response due to language difficulties between crew members and, until the emergency team arrived, limited attempts to perform cpr2 were carried out by passengers. risks relating to the use of swimming pools by unsupervised passengers had not been formally assessed. Safety Issues: with no dedicated pool attendants it was left to pool users and bystanders to recognise an emergency and raise an alarmthe crew members (catering staff) in the vicinity of neptune pool had not received instruction from the company in medical first aid.there was no documented formal risk assessment available for ship’s staff reference when assessing swimming pool operational safety."
48,"at 1917 local time on february 13, 2019, the towing vessel miss dixie was transiting downbound with a crew of four and pushing five barges on the lower mississippi river near new orleans, louisiana, when it collided with the upbound towing vessel d.& r. boney, which was pushing nine barges. several barges broke loose from their tows and were subsequently gathered up by the crews of the towing vessels. no injuries or pollution were reported. the cost of damages to four barges was $294,530.","the ​​probable cause of the collision between the tows of the towing vessels miss dixie and d.& r. boney was the lack of an effective maintenance program aboard the miss dixie, resulting in excessive and undetected wear of the port clutch, which compromised the vessel’s maneuverability.","New Orleans, LA",Collision Between Miss Dixie Tow and D.& R. Boney Tow,2/13/2019,0,1,0,0,1,0,0,0,0,1,1,"Summary: at 1917 local time on february 13, 2019, the towing vessel miss dixie was transiting downbound with a crew of four and pushing five barges on the lower mississippi river near new orleans, louisiana, when it collided with the upbound towing vessel d.& r. boney, which was pushing nine barges. several barges broke loose from their tows and were subsequently gathered up by the crews of the towing vessels. no injuries or pollution were reported. the cost of damages to four barges was $294,530. Safety Issues: the ​​probable cause of the collision between the tows of the towing vessels miss dixie and d.& r. boney was the lack of an effective maintenance program aboard the miss dixie, resulting in excessive and undetected wear of the port clutch, which compromised the vessel’s maneuverability."
49,"on december 11, 2015, about 1740 local time, a fire broke out in the electrical control room for the aft winches aboard the freighter alpena while the vessel was dry docked undergoing work. shipyard workers evacuated the vessel and notified the local fire department, who extinguished the fire. no one was injured, but the alpena sustained nearly $4 million in damage.",​​the probable cause of the fire aboard the alpena was a fault in the electrical wiring providing power to the aft anchor winch,"Sturgeon Bay, WI",Fire Aboard Freighter Alpena,12/11/2015,0,0,0,0,1,0,0,0,0,0,0,"Summary: on december 11, 2015, about 1740 local time, a fire broke out in the electrical control room for the aft winches aboard the freighter alpena while the vessel was dry docked undergoing work. shipyard workers evacuated the vessel and notified the local fire department, who extinguished the fire. no one was injured, but the alpena sustained nearly $4 million in damage. Safety Issues: ​​the probable cause of the fire aboard the alpena was a fault in the electrical wiring providing power to the aft anchor winch"
50,"on sunday 2 may 2010, a 14 year old sea cadet fell from a yard on the fore mast of the sail training ship ts royalist when the vessel was at anchor. the sea cadet was assisting other cadets to stow the fore course sail when he fell backwards and struck the starboard gunwale 8m below, before falling into the sea. he was quickly recovered from the water by the vessel’s sea boat and transferred to a coastguard helicopter which flew him to hospital. sadly, the cadet died as a result of the severe injuries he had sustained.","sail training is an extremely specialist activity, but the under-utilisation of health and safety advisors from the oversight and audit of the mssc’s offshore activities was detrimental to the safety management of ts royalistthe ineffectiveness of the supervision of cadets on this occasion, and the unsuitability of the belt harnesses provided, strongly indicate that there is scope to improve the safety of cadets when aloftthe belt harnesses used on board were not fit for purpose. they were unsuitable for fall arrest, and were neither tested nor manufactured to comply with current standards, and no records of their inspection were maintained","Stokes Bay, near Gosport, England",Fall from yard on fore mast on sail training ship TS Royalist with loss of 1 life,2 May 2010,0,0,0,0,1,0,0,1,0,0,1,"Summary: on sunday 2 may 2010, a 14 year old sea cadet fell from a yard on the fore mast of the sail training ship ts royalist when the vessel was at anchor. the sea cadet was assisting other cadets to stow the fore course sail when he fell backwards and struck the starboard gunwale 8m below, before falling into the sea. he was quickly recovered from the water by the vessel’s sea boat and transferred to a coastguard helicopter which flew him to hospital. sadly, the cadet died as a result of the severe injuries he had sustained. Safety Issues: sail training is an extremely specialist activity, but the under-utilisation of health and safety advisors from the oversight and audit of the mssc’s offshore activities was detrimental to the safety management of ts royalistthe ineffectiveness of the supervision of cadets on this occasion, and the unsuitability of the belt harnesses provided, strongly indicate that there is scope to improve the safety of cadets when aloftthe belt harnesses used on board were not fit for purpose. they were unsuitable for fall arrest, and were neither tested nor manufactured to comply with current standards, and no records of their inspection were maintained"
51,"on 16 february 2013, the port fin stabiliser of the passenger/ro-ro cargo ferry finnarrow made contact with the berth as it arrived at holyhead, wales. the hull was punctured and led to flooding in the pump room. all passengers were disembarked, cargo was unloaded and the vessel’s onboard services crew were sent ashore.",the procedures for pre-arrival checks were inadequatethe crew lacked sufficient familiarity with the vessel’s equipment and emergency procedures,"Holyhead Port, Wales",Contact made by passenger/ro-ro cargo ferry Finnarrow with berth and its subsequent flooding,16 February 2013,0,0,0,0,0,0,0,1,0,0,0,"Summary: on 16 february 2013, the port fin stabiliser of the passenger/ro-ro cargo ferry finnarrow made contact with the berth as it arrived at holyhead, wales. the hull was punctured and led to flooding in the pump room. all passengers were disembarked, cargo was unloaded and the vessel’s onboard services crew were sent ashore. Safety Issues: the procedures for pre-arrival checks were inadequatethe crew lacked sufficient familiarity with the vessel’s equipment and emergency procedures"
52,"on april 16, 2020, a fire on board the dive support vessel iron maiden occurred while the vessel was docked at the allied shipyard in larose, louisiana. local firefighters extinguished the fire at 0225. no one was aboard the vessel at the time of the fire. no pollution or injuries were reported. damage to the vessel was estimated at greater than $900,000.",​​the probable cause of the fire aboard the dive support vessel iron maiden​​ was an electrical short from an unidentified source located on the forward bulkhead within the generator room. contributing to the undetected propagation of the fire was the lack of continuous monitoring of the vessel while it was docked at the shipyard.,"Larose, LA",Fire aboard Dive Support Vessel Iron Maiden,4/16/2020,0,0,0,0,1,0,1,0,0,0,0,"Summary: on april 16, 2020, a fire on board the dive support vessel iron maiden occurred while the vessel was docked at the allied shipyard in larose, louisiana. local firefighters extinguished the fire at 0225. no one was aboard the vessel at the time of the fire. no pollution or injuries were reported. damage to the vessel was estimated at greater than $900,000. Safety Issues: ​​the probable cause of the fire aboard the dive support vessel iron maiden​​ was an electrical short from an unidentified source located on the forward bulkhead within the generator room. contributing to the undetected propagation of the fire was the lack of continuous monitoring of the vessel while it was docked at the shipyard."
53,"on 9 april 2020 near kinlochbervie, scotland, the uk registered dredger shearwater was immobilised after its propeller shafts were fouled by its own towline, which was being used to tow the unmanned barge, agem one. thereafter, shearwater was damaged and holed, resulting in flooding, after repeated collisions with agem one, which was no longer under control. the situation was eventually stabilised after the intervention of a lifeboat, a workboat and an emergency towing vessel.","shearwater was not a suitable vessel to conduct a lengthy coastal tow, and there was insufficient planning or safety procedures for the voyageshearwater’s crew did not have the necessary competence for the towing voyage, and there was no tow mastersafety certification by the flag state did not provide sufficient assurance for safe operation of the vessel","Kinlochbervie, Scotland",Immobilisation and flooding of dredger Shearwater following repeated collisions with unmanned barge Agem One,9 April 2020,0,0,0,0,0,0,0,1,0,1,0,"Summary: on 9 april 2020 near kinlochbervie, scotland, the uk registered dredger shearwater was immobilised after its propeller shafts were fouled by its own towline, which was being used to tow the unmanned barge, agem one. thereafter, shearwater was damaged and holed, resulting in flooding, after repeated collisions with agem one, which was no longer under control. the situation was eventually stabilised after the intervention of a lifeboat, a workboat and an emergency towing vessel. Safety Issues: shearwater was not a suitable vessel to conduct a lengthy coastal tow, and there was insufficient planning or safety procedures for the voyageshearwater’s crew did not have the necessary competence for the towing voyage, and there was no tow mastersafety certification by the flag state did not provide sufficient assurance for safe operation of the vessel"
54,"on june 16, 2019, the bulk liquid cargo vessel dank silver was transiting downbound on the mississippi river, near donaldsonville, louisiana, when it struck the fender of the western pier to the main (channel) span of the sunshine bridge. no pollution or injuries to the 19 crewmembers on board the dank silver were reported. damage to the vessel was about $1.05 million, and damage to the bridge was estimated at $3.5 million.",​​the probable cause of the tank vessel dank silver​’s contact with the sunshine bridge was the pilot’s decision to turn the vessel off the dock instead of going upriver to gain sufficient steerageway to maneuver downriver through the bridge.,"St. James Parish, LA",Contact of Tanker Dank Silver with Sunshine Bridge,6/16/2019,1,1,0,0,0,0,0,0,0,0,0,"Summary: on june 16, 2019, the bulk liquid cargo vessel dank silver was transiting downbound on the mississippi river, near donaldsonville, louisiana, when it struck the fender of the western pier to the main (channel) span of the sunshine bridge. no pollution or injuries to the 19 crewmembers on board the dank silver were reported. damage to the vessel was about $1.05 million, and damage to the bridge was estimated at $3.5 million. Safety Issues: ​​the probable cause of the tank vessel dank silver​’s contact with the sunshine bridge was the pilot’s decision to turn the vessel off the dock instead of going upriver to gain sufficient steerageway to maneuver downriver through the bridge."
55,"on 20 april 2001, the fishing vessel rebecca kay had sunk off bideford bar buoy, north devon.","the only possible source of water entry to the engine space, other than a split in the hull, was through a hull connection. with the vessel having recently undergone a major refit with all hull connections checked, the point of entry is most likely to have been the engine exhaust hull penetration and connection at the stern. deliberate interference with the exhaust connection has been suggested, but no evidence is available to support this allegation.","Off Bideford Bar Buoy, North Devon, England",Flooding and sinking of potter Rebecca Kay,20 April 2001,0,0,0,0,1,0,0,0,0,0,0,"Summary: on 20 april 2001, the fishing vessel rebecca kay had sunk off bideford bar buoy, north devon. Safety Issues: the only possible source of water entry to the engine space, other than a split in the hull, was through a hull connection. with the vessel having recently undergone a major refit with all hull connections checked, the point of entry is most likely to have been the engine exhaust hull penetration and connection at the stern. deliberate interference with the exhaust connection has been suggested, but no evidence is available to support this allegation."
56,at 1108 on 5 december 2016 the high-speed passenger catamaran typhoon clipper and the workboat alison collided adjacent to tower millennium pier on the river thames. alison sank and its two crewmen were rescued out of the water by typhoon clipper’s crew soon after the collision. both alison’s crewmen were suffering from cold shock but were released from hospital later the same day.,"avoiding collision starts with keeping a good lookout and assessing the shipping situation. in this case, neither vessel had properly identified the risk of collisionuse of sound signals in congested waterways can alert other vessels to your intentions; however, neither vessel made a sound signal which could have acted as a warningwearing a lifejacket is an important safety measure for workboat crews operating in congested watersthe rapid emergency response by the crew of typhoon clipper was a testament to the effectiveness of drills and being preparing for emergencies","River Thames, London, England",Collision between high-speed passenger catamaran Typhoon Clipper and workboat Alison,5 December 2016,0,0,1,0,0,1,1,0,1,0,0,"Summary: at 1108 on 5 december 2016 the high-speed passenger catamaran typhoon clipper and the workboat alison collided adjacent to tower millennium pier on the river thames. alison sank and its two crewmen were rescued out of the water by typhoon clipper’s crew soon after the collision. both alison’s crewmen were suffering from cold shock but were released from hospital later the same day. Safety Issues: avoiding collision starts with keeping a good lookout and assessing the shipping situation. in this case, neither vessel had properly identified the risk of collisionuse of sound signals in congested waterways can alert other vessels to your intentions; however, neither vessel made a sound signal which could have acted as a warningwearing a lifejacket is an important safety measure for workboat crews operating in congested watersthe rapid emergency response by the crew of typhoon clipper was a testament to the effectiveness of drills and being preparing for emergencies"
57,"on january 28, 2016, at 0430 local time, the uninspected towing vessel crimson gem was pushing 20 barges downbound during high-water conditions on the lower mississippi river in ama, louisiana, when two of its barges collided with the bulk carrier yangtze ambition docked at the bottom of a river bend. damages to the vessel and the barges, including a third barge that made contact with the dock, totaled an estimated $575,000. there was no injury or pollution.",​​the probable cause of the collision of the crimson gem tow with the moored bulk carrier yangtze ambition was the crimson gem pilot’s ineffective maneuvering for the prevailing current in a river bend.​,"Ama, LA",Collision of Crimson Gem Tow with Bulk Carrier Yangtze Ambition,1/28/2016,0,1,0,1,0,0,0,0,0,0,0,"Summary: on january 28, 2016, at 0430 local time, the uninspected towing vessel crimson gem was pushing 20 barges downbound during high-water conditions on the lower mississippi river in ama, louisiana, when two of its barges collided with the bulk carrier yangtze ambition docked at the bottom of a river bend. damages to the vessel and the barges, including a third barge that made contact with the dock, totaled an estimated $575,000. there was no injury or pollution. Safety Issues: ​​the probable cause of the collision of the crimson gem tow with the moored bulk carrier yangtze ambition was the crimson gem pilot’s ineffective maneuvering for the prevailing current in a river bend.​"
58,"on october 28, 2022, about 0036 local time, the containership msc rita and the fishing vessel tremont were underway in the atlantic ocean, 55 miles southeast of chincoteague, virginia, when the two vessels collided. the 13 people aboard the tremont abandoned the vessel and were rescued by good samaritan vessels and a us coast guard helicopter. no injuries were reported. an oil sheen was reported; a potential of up to 31,000 gallons of diesel fuel were lost with the fishing vessel. damage to the vessels was estimated at $4.75 million (tremont) and $1.5 million (msc rita).","​we determined that the probable cause of the collision between the containership msc rita and the fishing vessel tremont was the tremont mate not maintaining a proper lookout and keeping the autopilot engaged while troubleshooting the vessel’s gyrocompass, which resulted in the vessel turning into the path of the msc rita.","Chincoteague, VA",Collision between Containership MSC Rita and Fishing Vessel Tremont,10/28/2022,1,0,0,0,0,0,1,0,1,0,1,"Summary: on october 28, 2022, about 0036 local time, the containership msc rita and the fishing vessel tremont were underway in the atlantic ocean, 55 miles southeast of chincoteague, virginia, when the two vessels collided. the 13 people aboard the tremont abandoned the vessel and were rescued by good samaritan vessels and a us coast guard helicopter. no injuries were reported. an oil sheen was reported; a potential of up to 31,000 gallons of diesel fuel were lost with the fishing vessel. damage to the vessels was estimated at $4.75 million (tremont) and $1.5 million (msc rita). Safety Issues: ​we determined that the probable cause of the collision between the containership msc rita and the fishing vessel tremont was the tremont mate not maintaining a proper lookout and keeping the autopilot engaged while troubleshooting the vessel’s gyrocompass, which resulted in the vessel turning into the path of the msc rita."
59,"about 0755 local time on may 30, 2015, the uninspected towing vessel miss natalie collided with the tow of the uninspected towing vessel george w banta while the miss natalie was attempting to remove one of the tow's barges. shortly afterward, it capsized and sank on the lower mississippi river in romeville, la. four of the five crewmembers escaped, but one deckhand died. the vessel sustained an estimated $1.8 million in damages rendering it a constructive total loss. no pollution was reported.",​​the probable cause of the sinking of the towing vessel miss natalie was its captain’s decision to downstream on a line-haul tow given the prevailing conditions. contributing to the sinking was the george w banta tow moving ahead as the miss natalie approached rather than holding its position in the river.,"Romeville, LA",Marine Accident Brief: Collision and Sinking of Towing Vessel Miss Natalie,5/30/2015,1,0,0,1,0,0,0,0,0,0,0,"Summary: about 0755 local time on may 30, 2015, the uninspected towing vessel miss natalie collided with the tow of the uninspected towing vessel george w banta while the miss natalie was attempting to remove one of the tow's barges. shortly afterward, it capsized and sank on the lower mississippi river in romeville, la. four of the five crewmembers escaped, but one deckhand died. the vessel sustained an estimated $1.8 million in damages rendering it a constructive total loss. no pollution was reported. Safety Issues: ​​the probable cause of the sinking of the towing vessel miss natalie was its captain’s decision to downstream on a line-haul tow given the prevailing conditions. contributing to the sinking was the george w banta tow moving ahead as the miss natalie approached rather than holding its position in the river."
