Summary,Safety Issues,Location,Title,Date Occurred,Decision Events,Skill Based Events,Perception Events,Routine Violation,Physical Environment,Technical Environment,Space Environment,Communications,Self Imposed Stress,Awareness Cognitive Factors,Adverse Psychological,Adverse Physiological,Medical / Mental,Individual Perception,Inadequate Supervision,Failure to Correct a Known Problem,Planned Inappropriate Operations,Supervisory Violations,Organizational Culture / Climate,Organizational Processes,Resource Management
"At approximately 2342, on 23 September 2017 a Filipino crewman from the fishing vessel Constant Friend fell into the water at Kilkeel Harbour while attempting to board the boat. He had been ashore during the evening socialising and drinking alcohol and, when his crewmates returned to the boat he remained ashore drinking. Constant Friend was berthed outboard of another fishing vessel and as the crewman attempted to climb over the deck rails he slipped and fell into the harbour. Despite a prompt rescue by his crewmates and the application of cardiopulmonary resuscitation (CPR), he succumbed to the effects of immersion and died in hospital several days later.","the crewman’s consumption of alcohol is likely to have adversely affected his ability to judge risk and co-ordinate his movement, which combined with the adverse conditions probably caused him to fall

climbing over the guardrails to cross between boats carried inherent risk. A more focused risk assessment might have recognised the risk of falling overboard under differing circumstances and identified more comprehensive risk controls

prompt recovery of a casualty from the water, coupled with early medical intervention is vital. Dedicated man overboard rescue equipment coupled with a contact card for emergency services and training in first aid including CPR is crucial in saving lives","Kilkeel Harbour, Northern Ireland",Man overboard from stern trawler Constant Friend with loss of 1 life,23 September 2017,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"On 2 October 2022, the mono-hulled offshore powerboat Awesome was returning to its home port when it unexpectedly veered to starboard, then rolled violently to port, ejecting 10 occupants. Awesome ended up in a vertical position, with its bow in the air, briefly staying afloat before it started to sink by the stern. Two of the occupants did not survive the accident.","Steering control was lost when a drive shaft failed and severed a hydraulic pipe feeding the steering system. The mechanical failure of a drive shaft occurred due to a lack of maintenance

The kill cords designed to stop the engines in an emergency were not being used

Both of the victims drowned. It is likely that they were both rendered unconscious during the accident, neither was wearing a PFD

Awesome had seating for five people; at the time of the accident there were 11 people on board, including four children ",Loss of control of powerboat Awesome with loss of 2 lives,"near Little Thatch Island, British Virgin Islands",22 October 2022,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
"On 29 September 2018, the UK registered roll-on roll-off passenger ferry Red Falcon and the privately-owned motor cruiser Phoenix collided in the Thorn Channel, Southampton, England. Both vessels were heading for Cowes on the Isle of Wight. The ferry was carrying 20 crew and 182 passengers, and the motor cruiser had four persons on board. Phoenix was pinned against the ferry’s bow for 18 seconds and was seriously damaged. Red Falcon was not damaged. There were no injuries and no pollution.","the lookout on both Red Falcon and Phoenix was solely by eye

Red Falcon’s bridge team did not see the motor cruiser on the starboard bow due to Phoenix being obscured by the sun’s glare and window frame blind arcs

the effectiveness of the lookout maintained on board Red Falcon’s bridge was reduced because the master and chief officer remained seated and the bridge window sun screens were not lowered

Phoenix’s owner had limited knowledge of the COLREGs and local guidance, and did not check astern when entering the Thorn Channel at a shallow angle","Thorn Channel, Southampton, England",Collision between ro-ro passenger ferry Red Falcon and motor cruiser Phoenix,29 September 2018,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
"On 19 August 1998 a narrow boat on holiday hire foundered with the loss of four lives. The accident happened while Drum Major descended Steg Neck Lock near Gargrave, North Yorkshire, England. The boat was positioned too far forward in the lock and foundered due to an uncontrolled ingress of water. Attempts to rescue four disabled people trapped inside were unsuccessful.","The cause of the foundering was an uncontrolled ingress of water into Drum Major while she was descending in the lock. A main contributory cause was that she was positioned too far forward in the lock, contrary to the advice provided in the Waterways Code for Boaters, which is issued by British Waterways.","Descending in Steg Neck Lock on the Leeds and Liverpool canal near Gargrave, England",Contact and sinking of narrow boat Drum Major with loss of 4 lives,19 August 1998,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"On February 21, 2018, at 0740, the towing vessel Leland Speakes was pushing 21 barges upbound on the Lower Mississippi River when a fire broke out in the engine room at mile 520.6, south of Greenville, Mississippi. The nine crewmembers on board tried to fight the fire but, unable to control it, abandoned the vessel to a skiff dispatched from a Good Samaritan towboat. The abandoned tow drifted 11 miles downriver until another towing vessel pushed it into a sandbar. The fire burned until later that evening before being extinguished by fire response teams and vessels. None of the crewmembers were injured, and no environmental damage was reported. The damage to the Leland Speakes was estimated at $4.5 - $5 million.",​​probable cause of the engine room fire on board the Leland Speakes was a catastrophic failure and crankcase breach of the port main engine resulting from failure of the caps that secured two piston connecting rods to the crankshaft. Contributing to the severity of the fire was the vessel’s lack of a fixed fire-extinguishing system for the engine room and lack of redundant fire pumps.​,"Greenville, MS",Engine Room Fire on Board Towing Vessel Leland Speakes,2/21/2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"On 14 December 2001, at 0151 UTC, the general cargo vessel Rosebank suffered a fire and was abandoned by her crew about 7 miles east of Alnmouth, off the Northumberland coast. A rescue helicopter airlifted all the crew off the vessel, and took them ashore. The situation was monitored by an RN vessel alongside, and a salvage vessel.","most probable cause was an electrical failure within the motor compartments of one of the domestic fridges or freezers operating within the space
subsequent ignition of residual dust, dirt or other debris within the motor cabinet led to a significant fire within that and other adjacent units
communication between the bridge and the fire party was inhibited because of a failure to use the three available hand-held VHF sets
spread of the fire into the accommodation was caused by the fire-fighting team failing to follow boundary cooling techniques and monitor all sides of the seat of the fire","7 miles east of Alnmouth, Northumberland, England",Fire in accommodation area on general cargo vessel Rosebank,14 December 2001,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"At about 2137 on 3 September 2005, the emergency towing vessel Anglian Sovereign ran aground on the small island of Bulta Skerry, 3 miles west of Scalloway, in the Shetland Islands. There were no injuries to the crew, but the vessel was severely damaged and about 84 tonnes of gas oil were lost into the environment.","the master’s alcohol consumption was the major causal factor of this accident
the master routinely consumed alcohol onboard, despite company policy
other senior officers were aware that the master had been drinking, but took no action
the master was alone on watch on the bridge at night in contravention of STCW and MSN
proper navigational practices were not observed onboard
after the grounding, there was no effective command and control of the emergency situation onboard
Klyne Tugs’s Safety Management System and auditing system had proved ineffective on alcohol and navigational practices
as charterers, the MCA had an inadequate regime for verification that the ETVs were being operated to an appropriate standard","Bulta Skerry near Scalloway, Shetland Islands, Scotland",Grounding of emergency towing vessel Anglian Sovereign,3 September 2005,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
"At 2309 (UTC) on 16 January 2012, an able seaman (AB) on board the Antigua & Barbuda registered container ship Dette G died as a result of falling overboard during cargo operations while the vessel was moored alongside Queen Elizabeth Dock in Hull, UK. The AB fell into a narrow gap between the vessel and the quay when disembarking from the vessel through a pilot gate. He quickly disappeared from view and his body was not recovered from the water until the following morning.","although not an authorised means of access, the pilot gate was occasionally used by the crew when the vessel was alongside
the dangers of using the pilot gate increased as the cargo unloading operations progressed and the vessel’s freeboard increased
the deceased probably lost his balance or slipped
the use of the pilot gate instead of the accommodation ladder was a significant shortcut that might have appeared to be safe to use, consequently, some of the crew had probably developed a complacent attitude towards its use","Queen Elizabeth Dock, Hull, England",Person overboard from container vessel Dette G during cargo operations with loss of 1 life,16 January 2012,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"At 2327 local time on March 21, 2019, the containership Marcliff was outbound from the Port of Yokohama, Japan, when it collided with the containership APL Guam, which was inbound to an anchorage at the port. After the initial collision, the Marcliff then collided with the containership Hansa Steinburg​​, which was anchored nearby. No pollution or injuries were reported. Damages to the three vessels w​ere estimated at $1,178,200.",​​The probable cause of the collision between the containerships Marcliff and APL Guam was the Marcliff master’s attempt to pass between the APL Guam and the anchored Hansa Steinburg with insufficient safe maneuvering room. Contributing to the accident was a lack of communication between the Marcliff bridge team and the APL Guam pilot and bridge team to establish their maneuvering intentions.,"Yokohama, Japan",Collision between Containerships Marcliff and APL Guam,3/21/2019,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"At 0029 local time on April 18, 2017, while transiting northbound through the Panama Canal, the Panama-flagged tugboat Cerro Santiago collided with the US Coast Guard cutter Tampa in Miraflores Lake, Panama. Although the tugboat was not damaged, the cutter sustained $170,018 in damage to the stern as well as to various systems in the steering gear room. There were no injuries, nor was there any report of pollution.",​​The probable cause of the collision between the tugboat Cerro Santiago and the US Coast Guard cutter Tampa was the failure of the ​master of the Cerro Santiago to maintain a vigilant watch due to fatigue.,Panama,Collision of Tugboat Cerro Santiago with US Coast Guard Cutter Tampa,4/18/2017,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"At 0652 on 8 August 2016, the Marshall Islands registered semi-submersible rig Transocean Winner grounded on the Isle of Lewis following the loss of tow from the Dutch registered tug ALP Forward. The tug and tow was on passage from Stavanger, Norway to Valletta, Malta when it encountered severe weather west of the Hebrides. The effect of the wind and waves on Transocean Winner led to the loss of ALP Forward’s ability to control the direction and speed of the tug and tow. After being dragged backwards by the tow for over 24 hours, the tow line, weakened by the repeated sudden loadings, parted and the tug was unable to pick up the emergency towline.","the effect of the wind on Transocean Winner led to ALP Forward being incapable of controlling the wind and tow in the severe weather conditions. Without the necessary information, it was not possible for the master to predict the tug’s inability to hold the rig and change his passage plan in time to seek shelter

the planning of a passage so close to the coast left little sea room for the tug and tow to drift. When ALP Forward lost control of the tug and tow, it was very likely that Transocean Winner would have grounded even if the tow line had not parted

the tow line was in a generally poor condition, there was insufficient catenary in the deployed tow line which led, in the weather conditions, to repeated sudden loadings resulting in the tow line parting. It is quite possible that a new tow line would have also parted under the same circumstances and conditions","Isle of Lewis, Scotland",Grounding of semi-submersible rig Transocean Winner after the loss of tow from tug ALP Forward,7 September 2017,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"On 13 June 1999, the Bahamian registered offshore safety stand-by vessel Toisa Puffin collided with LUC, a stern trawler, 8.5 miles east of the River Tyne, England. Toisa Puffin was on passage towards Aberdeen Bay and LUC was trawling at the time of the accident. Toisa Puffin failed to detect it was on a collision course with another vessel early enough to take effective avoiding action. Both vessels sustained minor damage above the waterline.","The collision was caused by the mate of Toisa Puffin failing to detect he was on a collision course with another vessel early enough to take effective avoiding action. Contributory causes included Toisa Puffin’s mate failing to maintain a proper lookout, and LUC ’s skipper neither making an appropriate sound signal nor taking avoiding action early enough, contrary to the Collision Regulations.","8.5 miles east of the River Tyne, England",Collision between offshore safety standby vessel Toisa Puffin and stern trawler LUC,13 June 1999,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"On October 23, 2018, about 1426 local time, the towing vessel Andrew Cargill MacMillan was pushing 42 loaded barges southbound on the Lower Mississippi River, near Tallulah, Louisiana. While rounding a bend, the tow touched bottom, resulting in the head of the tow contacting breasting dolphins and a conveyor at the Farmers Grain Terminal at mile 442.4. The conveyor was destroyed, and the dolphins and a lead barge were damaged. There were no injuries to the ten crew on board or anyone ashore. There was no release of pollutants. Damage was estimated at $8 million for the conveyor and dolphins and about $74,000 for the barge.","The probable cause of the contact of the tow of the Andrew Cargill MacMillan with the Farmers Grain Terminal breasting dolphins and conveyor was the pilot’s overreliance on floating aids to navigation, which resulted in the tow being out of position and sliding too deep into the bend before the terminal to recover and ​successfully complete the turn.","Tallulah, LA",Contact of the Andrew Cargill MacMillan Tow with Grain Conveyor,10/23/2018,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"On 6 July 2021, the UK survey workboat Bella flooded and sank while carrying out hydrographic survey operations in the approaches to Lynmouth, England. Bella’s crew abandoned into the liferaft and were rescued uninjured by a local boat owner; there was no pollution.","the survey workboat Bella was vulnerable to swamping, even in moderate sea conditions, because its multibeam echo sounder gantry, reduced its forward freeboard

despite being issued with the necessary certification, Bella was not compliant with The Workboat Code; shortcomings in construction and means of flotation were missed during the certifying survey due to the surveyor’s overreliance on Recreational Craft Directive documentation

Bella’s crew were inexperienced and underestimated the risk of operating the vessel in open sea and were guided by an ineffective safety management system

the crew’s wearing of PFDs and familiarity with lifesaving equipment led to a safe and orderly abandonment","Approaches to Lynmouth, England",Flooding and sinking of survey workboat Bella,6 July 2021,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
"This is the report of the MAIB’s investigation into the grounding of the ro-ro ferry Commodore Clipper in the Little Russel channel approaching St Peter Port, Guernsey on 14 July 2014. The vessel raked over two granite pinnacles at full sea speed of about 18 knots; its hull was breached and seawater flooded into double-bottom void spaces. The grounding caused a noisy and shuddering vibration, but the crew did not immediately check for damage.","Insufficient passage planning meant that the bridge team were unaware of the limits of safe water in the Little Russel channel, so headed into danger without appreciation of the navigational risk. The planning issues not properly considered were: the very low tide, the effect of the ship ‘squatting’ in shallow water at high speed and the accuracy of the chart data.

The possibility that the vessel had grounded was denied. In the circumstances of a shuddering vibration, it is important that the crew establish the state of their vessel by searching for damage.

The repetitive nature of ferry operations can induce a degree of complacency when planning.

The electronic navigation system was not being utilised effectively because safety settings were not appropriate to the local conditions, warnings were ignored and the audible alarm was disabled.

As the responsible authority, Guernsey Harbours did not have an effective risk assessment or safety management plan for the conduct of navigation in its statutory pilotage area.","Approaches to St Peter Port, Guernsey",Grounding and flooding of ro-ro ferry Commodore Clipper,14 July 2014,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0
"On 12 December 2000, the bulk carrier Xuchanghai had collided with the shuttle oil tanker Aberdeen, which was berthed at the western end of the Immingham Oil Terminal. Xuchanghai was inbound for the Immingham Dock laden with 27,672 tonnes of Ilmenite. She had a pilot embarked and had secured a tug on her bow before she reached the oil terminal. A second tug was positioned at the stern, but her tow wire was not connected until immediately prior to the collision.","the vessel’s speed was insufficient to maintain steerage in the prevailing conditions

Xuchanghai was scheduled off Immingham one hour earlier than was considered the optimum time

the stern tug was unable to assist until immediately prior to the collision","Immingham Oil Terminal, England",Contact made by bulk carrier Xuchanghai with berthed shuttle oil tanker Aberdeen,12 December 2000,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Crimond II capsized and foundered at about 0630 on 24 April 2001, as a result of flooding which the crew had discovered a couple of hours earlier.","the bilge alarms did not give warning that flooding was taking place

the deckhand had not attended the mandatory safety courses

defective pipework, hull damage or back flooding could have been the sources of flooding

the skipper should have informed the coastguard as soon as the flooding was discovered","30 miles north-east of Scarborough, England",Flooding and sinking of trawler Crimond II,24 April 2001,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"The 15,145gt Bermuda registered container vessel CP Valour, grounded in a bay off the NW coast of the island of Faial, Azores, on 9 December 2005. The next day, in worsening weather conditions, the vessel’s hull began to fracture, eventually causing substantial pollution to the coast of Faial, and to the islands of Pico and Sāo Jorge. The subsequent salvage operation was unsuccessful and she was declared a constructive total loss about 3 weeks later.","the management of the bridge team was poor, but the problem was compounded by the second officer showing little or no initiative in supporting the master
the master did not delegate sufficient monitoring tasks to the second officer, by the time the vessel grounded, he had become overloaded
both the master and second officer had completed non-mandatory bridge team training courses, however few of the lessons learned had been put into practice on the bridge of CP Valour on the day of the accident","Baia da Praia do Norte, Faial, Azores",Grounding of container vessel CP Valour,9 December 2005,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0
"On 18 December 2013 a crewman was lost overboard from the general cargo vessel Sea Melody during mooring operations at Groveport, River Trent, England. The crewman was pulled overboard from the forward mooring area when his foot became caught in a bight of rope as the vessel was being moved along the wharf to an adjacent berth. Despite an extensive search his body was not recovered. Despite all the available guidance on safe mooring operations, this is the eighth fatality during mooring operations that we have investigated in as many years.","the crew were not effectively briefed about the operation to move the vessel

the crewman was unsupervised at the time of the accident

the communications between the ship and the shore linesmen were not effective as no prior briefing had taken place between them","Groveport, River Trent, England",Person overboard during mooring operation on general cargo vessel Sea Melody with loss of 1 life,18 December 2013,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"On 31 March 2001, the amphibious craft Beatrice suffered a propulsion failure and subsequently beached opposite the River Thames Fire Station, Lambeth.","The cause of the damage to the propeller duct was the movement of the “A-frame support” under conditions of shock loading. This was caused initially by the sudden momentary seizure of the propeller while under load and, finally, by the continued operation of the propeller drive shaft while in a distorted condition.

The sudden and momentary seizure of the propeller was most probably brought about by the entry of a large solid object into the propeller duct during the early part of the passage.","Opposite River Thames Fire Station on the River Thames, Lambeth, England",Propulsion failure and subsequent beaching of DUKW amphibious passenger vehicle Beatrice,31 March 2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"At about 1540 UTC on 20 July 2009 the fishing vessel Aquila, with a crew of four, capsized while dredging for scallops to the east of the Isle of Muck, off the west coast of Scotland. Three of her crew lost their lives in the accident; their bodies were recovered from the sea after the sole survivor was rescued by a passing yacht.","due to an increase in Aquila’s displacement tonnage, at the time of the accident, the vessel no longer met the stability standard for larger fishing vessels (there was no standard for vessels with a registered length of under 12m)
the decision to transfer control of the incident and stand the helicopter down caused a delay of 23 minutes in a rescue helicopter reaching the accident site","Bo Faskadale reef, Ardnamurchan, Scotland",Capsize and sinking of scallop dredger Aquila with loss of 3 lives,20 July 2009,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"On 29th October 2000 the ro-ro passenger ferry Koningin Beatrix departed Rosslare bound for Fishguard carrying 1092 passengers and 105 crew. The weather was south-westerly force 7-8 with wave heights of around 4 metres. At 1145 the bridge was informed that a man had been seen in the water, the vessel was turned and, with another nearby vessel, started a search and rescue operation. The master considered the weather to be too rough to safely lower a rescue boat. At 1238, the person overboard was spotted floating face down in the water as he passed around the vessel’s bow. At approximately 1300 he was picked up by an Irish Coastguard helicopter and taken to Wexford hospital. He was declared deceased at 1605.","the victim had fallen overboard however, because there were no witnesses, it is not known if he feel accidentally or intentionally",Near Tuskar Rock off the Republic of Ireland,Person overboard from ro-ro passenger ferry Koningin Beatrix with loss of 1 life,29 October 2000,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"On November 19, 2018, about 0445 local time, the fishing vessel Imperial was transiting the Gulf of the Farallones, 25 miles northwest of San Francisco, California.1 While enroute to pick up a string of crab pots, the vessel grounded near Point Reyes, California. The five crewmembers remained with the vessel until they were assisted by a US Coast Guard vessel. The Imperial later was towed to port. No pollution or injuries were reported. Damage to the vessel was estimated at $950,000.","The probable cause of thegrounding of the fishing vessel Imperial was the captain’s failure to monitor the vessel's track as a result of falling asleep due to an accumulated sleep deficit after 4 days of continuous operations, and the decision to not activate the vessel's installed wheelhouse watch alarm. Contributing to the accident was the vessel owner'​s lack of measures to mitigate crew fatigue and the nature of the derby-style Dungeness fishery in the state of California, which results in continuous fishing operations at the beginning of the season.","Point Reyes, CA",Grounding of Fishing Vessel Imperial,11/19/2018,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0
